brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,crawl_date
Bamboo Airways,3.079.584 VND/khách,05:25,03 thg 5,03 thg 5,07:35,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
Vietravel Airlines,2.771.055 VND/khách,05:45,03 thg 5,03 thg 5,07:55,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
VietJet Air,2.815.943 VND/khách,05:00,03 thg 5,03 thg 5,07:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.987.513 VND/khách,06:00,03 thg 5,03 thg 5,08:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.987.513 VND/khách,06:15,03 thg 5,03 thg 5,08:25,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,2.994.495 VND/khách,07:10,03 thg 5,03 thg 5,09:20,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
Bamboo Airways,3.373.499 VND/khách,23:55,03 thg 5,04 thg 5,02:05,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025
VietJet Air,3.415.440 VND/khách,07:30,03 thg 5,03 thg 5,09:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.427.410 VND/khách,23:35,03 thg 5,04 thg 5,01:45,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.672.795 VND/khách,09:20,03 thg 5,03 thg 5,11:30,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.672.795 VND/khách,22:10,03 thg 5,04 thg 5,00:20,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.684.765 VND/khách,09:40,03 thg 5,03 thg 5,11:50,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.728.655 VND/khách,08:10,03 thg 5,03 thg 5,10:20,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.728.655 VND/khách,10:25,03 thg 5,03 thg 5,12:35,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.728.655 VND/khách,12:10,03 thg 5,03 thg 5,14:20,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.728.655 VND/khách,15:25,03 thg 5,03 thg 5,17:35,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.728.655 VND/khách,16:05,03 thg 5,03 thg 5,18:15,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
VietJet Air,3.728.655 VND/khách,16:50,03 thg 5,03 thg 5,19:00,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025
