brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,checked_baggage,hand_luggage,crawl_date
Bamboo Airways,2.361.316 VND/khách,23:05,24 thg 4,25 thg 4,01:15,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
VietJet Air,2.400.983 VND/khách,21:00,24 thg 4,24 thg 4,23:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
VietJet Air,2.577.274 VND/khách,19:50,24 thg 4,24 thg 4,21:55,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
VietJet Air,2.577.274 VND/khách,20:00,24 thg 4,24 thg 4,22:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
Bamboo Airways,2.817.663 VND/khách,18:45,24 thg 4,24 thg 4,20:55,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
VietJet Air,2.831.903 VND/khách,22:10,24 thg 4,25 thg 4,00:20,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
VietJet Air,2.980.968 VND/khách,09:20,24 thg 4,24 thg 4,11:30,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
Vietnam Airlines,3.055.367 VND/khách,23:05,24 thg 4,25 thg 4,01:15,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,23-04-2025
VietJet Air,3.189.008 VND/khách,07:30,24 thg 4,24 thg 4,09:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
VietJet Air,3.189.008 VND/khách,10:25,24 thg 4,24 thg 4,12:35,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
VietJet Air,3.414.271 VND/khách,15:25,24 thg 4,24 thg 4,17:35,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
VietJet Air,3.481.275 VND/khách,07:10,24 thg 4,24 thg 4,09:20,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
Vietnam Airlines,3.500.083 VND/khách,23:00,24 thg 4,25 thg 4,01:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,23-04-2025
VietJet Air,3.563.070 VND/khách,11:25,24 thg 4,24 thg 4,13:35,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,23-04-2025
Vietnam Airlines,3.696.670 VND/khách,18:30,24 thg 4,24 thg 4,20:35,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,23-04-2025
Vietnam Airlines,3.696.670 VND/khách,20:00,24 thg 4,24 thg 4,22:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,23-04-2025
Vietnam Airlines,3.696.670 VND/khách,20:50,24 thg 4,24 thg 4,22:55,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,23-04-2025
Vietnam Airlines,3.696.670 VND/khách,21:00,24 thg 4,24 thg 4,23:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,23-04-2025
Vietnam Airlines,3.696.670 VND/khách,22:00,24 thg 4,25 thg 4,00:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,23-04-2025
Bamboo Airways,3.713.736 VND/khách,15:45,24 thg 4,24 thg 4,17:55,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 20 kg,Hành lý xách tay 7 kg,23-04-2025
