brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
Vietnam Airlines,961.462 VND/khách,05:45,07 thg 5,06:40,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 0 kg,28-04-2025
Vietnam Airlines,961.462 VND/khách,08:55,07 thg 5,09:50,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 0 kg,28-04-2025
Vietnam Airlines,1.141.282 VND/khách,10:15,07 thg 5,11:10,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,28-04-2025
Vietnam Airlines,1.141.282 VND/khách,17:25,07 thg 5,18:20,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,28-04-2025
VietJet Air,1.931.195 VND/khách,09:55,07 thg 5,10:50,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,28-04-2025
VietJet Air,2.965.593 VND/khách,07:30,07 thg 5,09:40,07 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,28-04-2025
Vietnam Airlines,3.955.826 VND/khách,04:55,07 thg 5,07:05,07 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý xách tay 1 x 12 kg,Hành lý 1 x 23 kg,28-04-2025
Vietnam Airlines,4.360.785 VND/khách,06:00,07 thg 5,08:05,07 thg 5,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý xách tay 1 x 12 kg,Hành lý 1 x 23 kg,28-04-2025
Vietnam Airlines,4.683.624 VND/khách,08:00,07 thg 5,10:05,07 thg 5,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,28-04-2025
Vietnam Airlines,4.683.624 VND/khách,07:00,07 thg 5,09:05,07 thg 5,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,28-04-2025
