brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
VietJet Air,2.908.710 VND/khách,06:00,03 thg 5,08:10,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
VietJet Air,2.982.525 VND/khách,05:00,03 thg 5,07:10,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
VietJet Air,2.982.525 VND/khách,06:15,03 thg 5,08:25,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
Vietravel Airlines,3.051.222 VND/khách,05:45,03 thg 5,07:55,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
VietJet Air,3.123.173 VND/khách,07:10,03 thg 5,09:20,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
VietJet Air,3.123.173 VND/khách,07:30,03 thg 5,09:40,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
Vietnam Airlines,3.290.077 VND/khách,04:55,03 thg 5,07:05,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",Hành lý xách tay 1 x 12 kg,Hành lý 1 x 23 kg,19-04-2025
VietJet Air,3.412.448 VND/khách,09:40,03 thg 5,11:50,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
VietJet Air,3.412.448 VND/khách,23:35,03 thg 5,01:45,04 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
VietJet Air,3.427.410 VND/khách,09:20,03 thg 5,11:30,03 thg 5,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
